,0
513,싼맛에 샀으나 장롱행
514,좋아요
515,좋아요
516,제품만족합니다.
517,제품만족합니다.
518,굿
519,굿
520,굿
521,굿
522,굿
523,배송은 빠른데 얇아요ㅋ
524,그냥 그래요
525,가격대비 제품의 품질도 좋아요
526,허리랑 아랫배 쪽이 커서 붕떠요
527,그냥그래요
528,너무 맘에 들어요
529,잘 받았습니다.
530,잘 받았습니다.
531,잘 받았습니다.
532,잘 받았습니다.
533,잘 받았습니다.
534,잘 받았습니다.
535,잘 받았습니다.
536,보통입니다
537,사이즈오류같은데ㅜㅜ
538,맘에들어요
539,좋아요
540,맘에들어요
541,좋아요 저렴한가격에 구매했어요
542,감사합니다
543,감사합니다
544,감사합니다
545,감사합니다
546,감사합니다
547,감사합니다
548,감사합니다
549,감사합ㄴ디ㅏ
550,편하고 가격저렴.. 잘 입겠습니다.
551,색상도받아보니맘에들어요
552,편하고 괜찮네요. 잘 입겠습니다.
553,금방 늘어날것 같지만 저렴하니까~^^
554,예쁘네요 질감도괜찮아요
555,조끼 예쁘네요
556,좋아요
557,잘 입겠습니다
558,저렴하게 잘 샀습니다
559,잘 입겠습니다
560,좋아요
561,좋아요
562,원단좋아요
563,진짜 날씬 44 나 얇은55용
564,가격을 생각하면 완전 마음에 들어요. 한 번 입으면 생각이 달라질 수도 있지만 옷은 정말 예뻐요.
565,가격을 생각하면 완전 마음에 들어요. 한 번 입으면 생각이 달라질 수도 있지만 옷은 정말 예뻐요.
566,가격을 생각하면 완전 마음에 들어요. 한 번 입으면 생각이 달라질 수도 있지만 옷은 정말 예뻐요.
567,가격을 생각하면 완전 마음에 들어요. 한 번 입으면 생각이 달라질 수도 있지만 옷은 정말 예뻐요.
568,가격을 생각하면 완전 마음에 들어요. 한 번 입으면 생각이 달라질 수도 있지만 옷은 정말 예뻐요.
569,가격을 생각하면 완전 마음에 들어요. 한 번 입으면 생각이 달라질 수도 있지만 옷은 정말 예뻐요.
570,가격을 생각하면 완전 마음에 들어요. 한 번 입으면 생각이 달라질 수도 있지만 옷은 정말 예뻐요.
571,좋아요
572,좋아요
573,좋아요
574,좋아요
575,배송 빠르게 잘 받았어요~ 촉감 양호하구요.잘 늘어나서 입으면 몸에 맞게 슬림하게 핏되요.전에 블랙컬러 구매했는데 괜찮아서 다른컬러도 구매하게 되었네요.다른분들 리뷰에 카멜이 오렌지랑 비슷해서 애매하던데요. 카멜과 오렌지컬러 같이 구매해 보니 다르긴하네요.암튼 가격대비 만족합니다~
576,빠른배송 받았어요~ 요전에 블랙을 구입했었는데 괜찮아서 다른컬러도 구입했어요.카멜컬러인데 색감 무난해요. 그리고 슬림하게 붙는 타입인데 입으면 잘 늘어나는편예요. 참고로 전 평소 상의 55사이즈 입어요. 촉감양호하구요.가격대비 만족해요~
577,좋아요.
578,좋아요
579,조아요 따뜻행ㆍ느 편해요
580,날씨한분입으세요 저는 너무 도드라져보여서 입을수가엏네요ㅜㅜ
581,윽 너무 짧고 너무 얇고 진짜 별로에요ㅜㅜ
582,조아요 편해요 약간 꺼칠하긴해요
583,감사합니다 고맙습니다 수고하세요ㅡ
584,감사합니다 고맙습니다 수고하세요ㅡ
585,평이 좋길래 구매.. 워낙 저렴해서 한철 입고 망가져도 괜찮을듯요. 편하고 예뻐요.
586,살짝 얇은 느낌이지만 가성비 좋아요.
587,예뻐요. 저렴한 가격에 득템했네요.
588,"신축성 좋고, 저렴한 가격에 잘 샀네요."
589,아주 연한 인디언핑크라 맘에 들어요 가성비짱
590,갈이가 생각보다 짧은 것 빼고는 맘에 쏙 듭니다 가성비짱
591,편안한 느낌의 가디건 가성비짱
592,여름에입으면 고급질것 같네요 가성비짱
593,가성비짱
594,맘에 들어요.
595,맘에 들어요.
596,좋아요 ~
597,좋아요 ~
598,잘받았습니다 배송도 제품도 만족합니다
599,잘받았습니다 제품도 배송도 만족스럽습니 다
600,잘받았어요감사합니다
601,바지진짜 넘나이쁘네요 원단도부드럽고 기모도 두껍지않으면서 따뜻하고 핏도이쁘고 편하고 도저히 이가격에못삽니다 재구매각 ㄱㄱ
602,굿
603,굿
604,착한가격에 득템했네요
605,냄새가 잘 안없어져요
606,빠른 배송 감사합니다.
607,빠른 배송 감사합니다.
608,빠른 배송 감사합니다.
609,가격만큼이네요
610,만족합니다
611,만족합니다
